"day","new_cases"
1,1
2,1
3,2
4,3
5,5
6,2
7,4
8,3
9,6
10,2
11,4
12,6
13,4
14,8
15,8
16,5
17,4
18,7
19,6
20,8
21,8
22,11
23,9
24,10
25,11
26,12
27,9
28,10
29,10
30,12
31,17
32,12
33,16
34,10
35,14
36,16
37,19
38,13
39,12
40,17
41,8
42,12
43,18
44,19
45,11
46,12
47,13
48,17
49,27
50,14
51,12
52,10
53,17
54,20
55,13
56,12
57,9
58,12
59,10
60,10
61,9
62,9
63,9
64,13
65,5
66,7
67,6
68,5
69,12
70,7
71,5
72,6
73,4
74,3
75,8
76,2
77,10
78,3
79,5
80,7
81,3
82,3
83,3
84,3
85,4
86,4
87,1
88,2
89,3
90,2
91,0
92,3
93,2
94,1
95,2
96,1
97,0
98,1
99,0
100,0
